nickname,gender,audio_url,avatar_url,asset_id
四郎,男,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190656-hczx4.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190656-hczx4.png,asset-20260224190656-hczx4
广告解说,男,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190656-tqq2h.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190656-tqq2h.png,asset-20260224190656-tqq2h
樱桃丸子,女,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190656-gz5kb.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190656-gz5kb.png,asset-20260224190656-gz5kb
武则天,女,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190656-rb4s7.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190656-rb4s7.png,asset-20260224190656-rb4s7
佩奇猪,女,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190656-7r964.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190656-7r964.png,asset-20260224190656-7r964
熊二,男,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190656-mrbs2.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190656-mrbs2.png,asset-20260224190656-mrbs2
猴哥,男,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190656-sq5tk.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190656-sq5tk.png,asset-20260224190656-sq5tk
天才童声,男,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190656-6gkjj.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190656-6gkjj.png,asset-20260224190656-6gkjj
温柔小雅,女,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190656-zrb6k.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190656-zrb6k.png,asset-20260224190656-zrb6k
咆哮小哥,男,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190656-q8n9n.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190656-q8n9n.png,asset-20260224190656-q8n9n
醇厚低音,男,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190656-ld557.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190656-ld557.png,asset-20260224190656-ld557
倾心少女,女,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190656-459nf.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190656-459nf.png,asset-20260224190656-459nf
文静毛毛,女,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190656-pc9ns.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190656-pc9ns.png,asset-20260224190656-pc9ns
悠悠君子,男,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190656-wbz44.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190656-wbz44.png,asset-20260224190656-wbz44
